ACESSÓRIOS MENORES,,,,,,ACESSÓRIOS MÉDIOS,,,,,,ACESSÓRIOS MAIORES,,,,
d%,Acessório,Preço,Livro,Página,,d%,Acessório,Preço,Livro,Página,,d%,Acessório,Preço,Livro,Página
01,Algibeira mordedora,1.000,Heróis de Arton,263,,01,Anel de telecinesia,10.500,Tormenta20,342,,01-02,Elmo do teletransporte,30.000,Tormenta20,344
02,Elixir da mente dividida,1.500,Heróis de Arton,265,,02,Bola de cristal,10.500,Tormenta20,342,,03-04,Gema da telepatia,30.000,Tormenta20,344
03,Papiro das estrelas,1.500,Heróis de Arton,267,,03,Caveira maldita,10.500,Tormenta20,343,,05-06,Gema elemental,30.000,Tormenta20,344
04,Anel do sustento,3.000,Tormenta20,342,,04,Instrumento da alegria,10.500,Deuses de Arton,57,,07-11,Manual da saúde corporal,30.000,Tormenta20,345
05-07,Bainha mágica,3.000,Tormenta20,342,,05,Ampulheta da harmonia temporal,10.500,Heróis de Arton,263,,12-16,Manual do bom exercício,30.000,Tormenta20,345
08-09,Corda da escalada,3.000,Tormenta20,343,,06,Amuleto do amparo,10.500,Heróis de Arton,263,,17-21,Manual dos movimentos precisos,30.000,Tormenta20,345
10,Ferraduras da velocidade,3.000,Tormenta20,344,,07,Caixa dos ecos perdidos,10.500,Heróis de Arton,264,,22-26,Medalhão de Lena,30.000,Tormenta20,345
11-12,Garrafa da fumaça eterna,3.000,Tormenta20,344,,08,Colar da perseverança,10.500,Heróis de Arton,264,,27-31,Tomo da compreensão,30.000,Tormenta20,345
13-15,Gema da luminosidade,3.000,Tormenta20,344,,09,Colar do tirano,10.500,Heróis de Arton,265,,32-36,Tomo da liderança e influência,30.000,Tormenta20,345
16-18,Manto élfico,3.000,Tormenta20,345,,10,Óculos da revelação,10.500,Heróis de Arton,266,,37-41,Tomo dos grandes pensamentos,30.000,Tormenta20,345
19-21,Mochila de carga,3.000,Tormenta20,345,,11,Colar das bolas de fogo,12.000,Heróis de Arton,265,,42-44,Anel da chama dançante,30.000,Heróis de Arton,263
22-23,Amuleto da visão etérea,3.000,Heróis de Arton,263,,12,Sandálias de Valkaria,12.000,Heróis de Arton,267,,45-46,Chapéu pensador,30.000,Heróis de Arton,264
24-25,Cinturão do trobo,3.000,Heróis de Arton,264,,13,Véu diáfano,13.500,Deuses de Arton,57,,47-48,Cinto da flecha veloz,30.000,Heróis de Arton,264
26-27,Elixir da eternidade,3.000,Heróis de Arton,265,,14,Botas aladas,15.000,Tormenta20,342,,49-50,Gema da profanação,30.000,Heróis de Arton,266
28-29,Pérola da nulificação,3.000,Heróis de Arton,267,,15,Botas inquietas,15.000,Deuses de Arton,59,,51-53,Tomo da técnica definitiva,30.000,Heróis de Arton,267
30-31,Saco dos ventos silenciosos,3.000,Heróis de Arton,267,,16,Pira póstera,15.000,Deuses de Arton,59,,54-55,Tapeçaria da guerra,35.000,Deuses de Arton,55
32-36,Brincos da sagacidade,4.500,Tormenta20,342,,17,Anel do pacto oneroso,15.000,Heróis de Arton,263,,56-57,Braceletes da amizade intensa,36.000,Heróis de Arton,264
37-41,Luvas da delicadeza,4.500,Tormenta20,344,,18,Botas do andarilho das sombras,15.000,Heróis de Arton,263,,58,Cilício vivo,37.000,Deuses de Arton,55
42-46,Manoplas da força do ogro,4.500,Tormenta20,344,,19,Cálice das marés,15.000,Heróis de Arton,264,,59,Coração corrompido,45.000,Deuses de Arton,55
47-50,Manto da resistência,4.500,Tormenta20,344,,20,Cinto dos caminhos cruzados,15.000,Heróis de Arton,264,,60-61,Coração do inverno,45.000,Heróis de Arton,265
51-55,Manto do fascínio,4.500,Tormenta20,344,,21,Pedra da passagem,15.000,Heróis de Arton,267,,62-63,Tomo dos companheiros,45.000,Heróis de Arton,267
56-60,Pingente da sensatez,4.500,Tormenta20,345,,22,Pingente da dor partilhada,15.000,Heróis de Arton,267,,64-65,Anel refletor,51.000,Tormenta20,342
61-65,Torque do vigor,4.500,Tormenta20,345,,23-26,Braceletes de bronze,16.500,Tormenta20,342,,66-67,Cinto do campeão,51.000,Tormenta20,343
