d%,Item,Livro,Página
01,Ácido,Tormenta20,160
02,Água benta,Tormenta20,155
03,Alaúde élfico,Tormenta20,158
04,Algemas,Tormenta20,155
05,Baga-de-fogo,Tormenta20,160
06-08,Bálsamo restaurador,Tormenta20,160
09,Bandana,Tormenta20,159
10,Bandoleira de poções,Tormenta20,155
11,Bomba,Tormenta20,160
12,Botas reforçadas,Tormenta20,159
13,Camisa bufante,Tormenta20,159
14,Capa esvoaçante,Tormenta20,159
15,Capa pesada,Tormenta20,159
16,Casaco longo,Tormenta20,159
17,Chapéu arcano,Tormenta20,159
18,Coleção de livros,Tormenta20,158
19,Cosmético,Tormenta20,160
20,Dente-de-dragão,Tormenta20,161
21,Enfeite de elmo,Tormenta20,159
22,Elixir do amor,Tormenta20,160
23,Equipamento de viagem,Tormenta20,155
24-26,Essência de mana,Tormenta20,160
27,Estojo de disfarces,Tormenta20,158
28,Farrapos de ermitão,Tormenta20,159
29,Flauta mística,Tormenta20,158
30,Fogo alquímico,Tormenta20,160
31,Gorro de ervas,Tormenta20,159
32,Líquen lilás,Tormenta20,161
33,Luneta,Tormenta20,158
34,Luva de pelica,Tormenta20,159
35,Maleta de medicamentos,Tormenta20,158
36,Manopla,Tormenta20,159
37,Manto eclesiástico,Tormenta20,159
38,Mochila de aventureiro,Tormenta20,155
39,Musgo púrpura,Tormenta20,161
40,Organizador de pergaminhos,Tormenta20,155
41,Ossos de monstro,Tormenta20,161
42,Pó de cristal,Tormenta20,161
43,Pó de giz,Tormenta20,161
44,Pó do desaparecimento,Tormenta20,160
45,Robe místico,Tormenta20,159
46,Saco de sal,Tormenta20,161
47,Sapatos de camurça,Tormenta20,159
48,Seixo de âmbar,Tormenta20,161
49,Sela,Tormenta20,158
50,Tabardo,Tormenta20,159
51,Traje da corte,Tormenta20,159
52,Terra de cemitério,Tormenta20,161
53,Veste de seda,Tormenta20,159
54,Corda de teia,Ameaças de Arton,396
55,Dente de wisphago,Ameaças de Arton,396
56,Bomba de fumaça,Ameaças de Arton,396
57,Elixir quimérico,Ameaças de Arton,396
58,Éter elemental,Ameaças de Arton,396
59,Óleo de besouro,Ameaças de Arton,397
60,Água benta concentrada,Deuses de Arton,48
61,Aspersório,Deuses de Arton,48
62,Patuá,Deuses de Arton,49
63,Panfleto de aforismos,Deuses de Arton,49
64,Texto sagrado,Deuses de Arton,49
65,Hábito sacerdotal,Deuses de Arton,49
66,Manto de alto sacerdote,Deuses de Arton,49
67,Sandálias,Deuses de Arton,51
68,Piercing de umbigo,Deuses de Arton,51
69,Incenso,Deuses de Arton,52
70,Santa granada de mão,Deuses de Arton,52
71,Fitilho consagrado,Deuses de Arton,52
72,Pena de anjo,Deuses de Arton,52
73,Ábaco,Heróis de Arton,227
74,Ampulheta,Heróis de Arton,227
75,Astrolábio,Heróis de Arton,227
76,Bainha adornada,Heróis de Arton,227
77,Bússola,Heróis de Arton,227
78,Diagrama anatômico,Heróis de Arton,230
79,Estrepes,Heróis de Arton,230
80,Lampião de foco,Heróis de Arton,230
81,Leque,Heróis de Arton,230
82,Lupa,Heróis de Arton,230
83,Mapa (mestre define de qual região),Heróis de Arton,230
84,Mecanismo de mola,Heróis de Arton,230
85,Mochila discreta,Heróis de Arton,230
86,Sinete,Heróis de Arton,231
87,Apito de caça,Heróis de Arton,231
88,Baralho marcado,Heróis de Arton,231
89,Clarim deheoni,Heróis de Arton,231
90,Pandeiro das estradas,Heróis de Arton,231
91,Camisolão,Heróis de Arton,232
92,Casaca de apetrechos,Heróis de Arton,232
93,Chapéu emplumado,Heróis de Arton,232
94,Elmo leve,Heróis de Arton,232
95,Elmo pesado,Heróis de Arton,232
96,Rondel,Heróis de Arton,233
97,Sapatos confortáveis,Heróis de Arton,233
98,Sapatos de salto alto,Heróis de Arton,233
99,Ácido concentrado,Heróis de Arton,234
100,Frasco abissal,Heróis de Arton,234
