VALOR DAS RIQUEZAS,,,,
Menor,Média,Maior,Valor (T$),Exemplos (separados por espaços ocupados)
01-25,—,—,4d4 (10),"0,5 espaço: ágata trincada, anel de hematita, bule de chá com gravações em prata, 1d4+1 soldadinhos de chumbo do Exército do Reinado, jarro de mel, prato de bronze, tapeçaria simples sem moldura, tinta de tecido suficiente para uma roupa;
1 espaço: caixa com velas aromáticas, estandarte em algodão de um nobre menor, kobold de pelúcia em tamanho natural, roldana de ferro;
2 espaços: barrilete de óleo cru, espantalho imitando um hynne nobre, rolo de algodão tecido, tela para pintura;
5 espaços: barril de farinha ou gaiola com galinhas."
26-40,—,—,1d4x10 (25),"0,5 espaço: colar de presas de bulette, livreto de poesia bucaneira, quartzo rosa, topázio;
1 espaço: ânfora de prata com símbolo de Marah (vale o dobro em um templo da deusa), caixa de tabaco, rolo de linho, urna de sais aromáticos (pode ser usada como ingrediente para preparados), saco com penas de hipossauro;
2 espaços: conjunto de talheres de prata, jarro de especiarias, como canela, gorad, pimenta ou sal;
5 espaços: candelabro de bronze, colchão de palha de boa qualidade;
—: vaca leiteira (irá acompanhá-lo se você for treinado em Adestramento)"
41-55,01-10,—,2d4x10 (50),"0,5 espaço: ampulheta, arreios de prata, barra de gorad, bracelete de ouro finamente trabalhado, cadeado de latão de boa qualidade, leque de bambu e seda, garrafa com água das profundezas do Mar Negro (supostamente possui propriedades mágicas);
1 espaço: bengala de ébano com uma cabeça de serpente de marfim, estatueta de osso entalhado, frutas exóticas (estragam em 2d4 dias), lamparina de ouro (vale o dobro para um devoto de Azgher), livro de crônicas roramarianas, livro de receitas campeiras de Namalkah, molde para fabricar velas, rolo de seda
2 espaço: brazeiro de latão decorado, cobertor para montaria, couro curtido de um burafonte, vaso de prata."
56-70,11-30,—,4d6x10 (140),"0,5 espaço: ametista, cartas de um nobre falecido (seus descendentes podem pagar o dobro), frasco de tinta allavir, pente de madeira Tollon, pérola branca, suspensórios elegantes;
1 espaço: caixa com 5 pares de meias de seda, cálice de prata com gemas de lápis-lazúli, estojo com sinete e apetrechos burocráticos (vale o dobro para o proprietário original), lingote de prata, sapatilha élfica confortável, tiara sinuosa própria para uma medusa, traje de festa exclusivo (concede +2 em Diplomacia durante a primeira cena em que for usado);
2 espaços: alvo para disparos sofisticado (treinar nele fornece +1 em Pontaria até o fim da aventura, mas o destrói), bloco de gelo das Uivantes (derrete em 1d6+3 dias), estatueta de uma cocatriz com olhos de madrepérola;
5 espaços: tapeçaria grande e bem-feita de lã;
20 espaços: porta de madeira maciça finamente entalhada."
71-85,31-50,01-05,1d6x100 (350),"0,5 espaço: alexandrita, pérola negra, peruca de crina de pégaso;
1 espaço: caleidoscópio de bronze com imagens doheritas, espada cerimonial ornada com prata e gema negra no cabo, toga tapistana com barra bordada em ouro, pente de prata com pedras preciosas, roda de queijo de seiva de galhada (rende 12 fatias; cada uma recupera 1d4+1 PV), sapatos de dança em couro de serpe;
2 espaços: relógio de parede kliren;
5 espaços: cadeira de madeira Tollon, cavalo de balanço com crina de verdade;
10 espaços: conjunto de velas de um galeão;
—: carruagem (pode ser puxada por um animal de tração ou arrastada por um personagem como um item que ocupa 20 espaços)."
86-95,51-65,06-15,2d6x100 (700),"0,5 espaço: baralho de Wyrt com tinta de ouro, bracelete banhado em adamante, condecoração militar da Guerra Artoniana;
1 espaço: escultura de vidro feito com areia de Halak-Tur, estatueta de Valkaria em prata azulada, pente em forma de dragão com olhos de gema vermelha, máscara teatral de marfim com pedras preciosas, réplica do machado Zakharin (portá-lo é crime no Reinado), vestido digno de uma princesa;
2 espaços: telescópio portátil;
5 espaços: barril de cerveja fina de Doherimm, harpa de madeira exótica com ornamentos de zircão e marfim;
10 espaços: tronco de madeira Tollon."
96-99,66-80,16-25,2d8x100 (900),"0,5 espaço: brinco com uma joia de aço-rubi, opala negra, tapa-olho com um olho falso de safira;
1 espaço: luva bordada e adornada com gemas, pingente de opala vermelha com corrente de ouro;
2 espaços: gaiola de prata para falcoaria, lingote de ouro, pintura antiga;
5 espaços: barril de especiarias de Moreania;
—: carroça cheia de mercadorias comuns (pode ser puxada por um animal de tração ou arrastada por um personagem como um item que ocupa 20 espaços)."
100,81-90,26-40,4d10x100 (2.200),"0,5 espaço: esmeralda verde, pingente de safira;
1 espaço: caixinha de música de ouro, ovo de grifo (com tempo e cuidado, pode ser transformado em um parceiro grifo iniciante), tornozeleira com gemas;
2 espaços: manto bordado em veludo e seda com inúmeras pedras preciosas;
5 espaços: berço de madeira Tollon com detalhes em ouro, chafariz de mármore para fonte de jardim, conjunto de taças de cristal em caixote;
20 espaços: coluna de mármore em estilo neogórdio."
—,91-95,41-60,6d12x100 (3.900),"0,5 espaços: anel de prata e safira, correntinha com pequenas pérolas rosas, diamante branco, pingente de ouro com um topázio em forma de Marah;
1 espaço: espelho feito na Pondsmânia (adiciona traços feéricos ao reflexo do usuário);
2 espaços: miniatura mecânica de um dragão feita por um inventor renomado, tábua de granito com reprodução da Tarvica em letras de ouro, vestido digno de uma rainha;
5 espaços: ídolo de ouro puro maciço, quadro élfico em estilo sobrenaturalista;
100 espaços: bloco de mármore bruto."
—,96-99,61-75,2d10x1.000 (11.000),"0,5 espaço: anel de ouro e rubi, diamante vermelho;
1 espaço: tiara de mitral cravejada de rubis;
2 espaços: conjunto de taças de ouro decoradas com esmeraldas;
5 espaços: busto de Tanna-Toh esculpido por um artista famoso, globo de Arton com pedras preciosas marcando os pontos de interesse conhecidos;
10 espaços: quadro do arquimago Vectorius em tamanho natural;
20 espaços: piano em madeira Tollon com cordas de mitral e teclas de marfim de Galrasia, estátua dourada de Klunk."
—,100,76-85,6d8x1.000 (27.000),"1 espaço: coroa de ouro adornada com centenas de gemas que pertenceu a um antigo monarca;
2 espaço: baú de mitral com coleção de diamantes, tapeçaria da Tormenta em estilo grigoriano (observá-la fornece 1 PM temporário para devotos de Aharadak uma vez por dia);
5 espaço: estatueta de gelo eterno com uma essência elemental agitada em seu interior;
20 espaços: meteorito de adamante bruto, sino de catedral de ouro maciço."
—,—,86-95,1d10x10.000 (55.000),"1 espaço: elmo de matéria vermelha com detalhes em rubis e turmalinas;
10 espaços: altar religioso em granito e onix com inscrições em ouro, sarcófago de ouro cravejado de gemas;
20 espaços: arca de madeira reforçada repleta de lingotes de prata e ouro e pedras preciosas de vários tipos;
—: carruagem de luxo em madeira Tollon banhada a ouro com detalhes em metais finos e pedras preciosas (pode ser puxada por um animal de tração ou arrastada por um personagem como um item que ocupa 20 espaços)."
—,—,96-100,4d12x10.000 (260.000),"20 espaços: estátua titanoteica em aventurina de uma divindade do Panteão;
—: uma sala forrada de moedas (mover todo esse dinheiro exige trabalhadores e carroças, ou outra ideia por parte dos jogadores, além de atrair a atenção de bandidos, coletores de impostos e aproveitadores de vários tipos)."
,,,,
,,,,
"Se o mestre quiser, pode rolar na tabela a seguir para definir quantos espaços a riqueza ocupa.",,,,
ESPAÇOS DAS RIQUEZAS,,,,
1d20,Espaços,Descrição,,
1 a 4,"0,5","Um item muito pequeno ou leve, como um anel, um par de brincos ou uma gema.",,
5 a 8,1,"Um item comum, como um cálice, uma estatueta ou um par de braceletes.",,
9 a 12,2,"Um item volumoso ou pesado, como uma arma de duas mãos ou um baú.",,
13 a 15,5,"Um item muito volumoso ou pesado, como uma armadura completa ou um barril.",,
16 a 17,10,"Um item extremamente volumoso ou pesado, como um quadro que ocupa uma parede inteira ou um busto de pedra.",,
18 a 19,20,"Um item mais volumoso ou pesado que uma pessoa, como uma arca repleta de moedas ou uma estátua de pedra.",,
20,100,"Algo tão volumoso ou pesado que só pode ser carregado por várias pessoas e/ou veículos, como uma coleção de estátuas em tamanho real.",,
