nome	type	circle	school	execucao	alcance	alvo	area	duracao	resistencia	description	publicacao	addPM.1	text.1	addPM.2	text.2	addPM.3	text.3	addPM.4	text.4	addPM.5	text.5	addPM.6	text.6	addPM.7	text.7	addPM.8	text.8	addPM.9	text.9	addPM.10	text.10	addPM.11	text.11	addPM.12	text.12	addPM.13	text.13
Abençoar Alimentos	Divina	1	Trans	padrão	curto (9m 6q)	alimento para criatura		cena		Você purifica e abençoa uma porção de comida ou dose de bebida. Isso torna um alimento sujo, estragado ou envenenado próprio para consumo. Além disso, se for consumido até o final da duração, o alimento oferece 5 PV temporários ou 1 PM temporário (além de quaisquer bônus que já oferecesse). Bônus de alimentação duram um dia e cada personagem só pode receber um bônus de alimentação por dia.	Jogo do Ano	0	o alimento é purificado (não causa nenhum efeito nocivo se estava estragado ou envenenado), mas não oferece bônus ao ser consumido.	1	aumenta o número de alvos em +1.	1	muda a duração para permanente, o alvo para 1 frasco com água e adiciona componente material (pó de prata no valor de T$ 5). Em vez do normal, cria um frasco de água benta.																				
Acalmar Animal	Divina	1	Encan	padrão	curto (9m 6q)	1 animal		cena	Vontade anula	O animal fica prestativo em relação a você. Ele não fica sob seu controle, mas percebe suas palavras e ações da maneira mais favorável possível. Você recebe +10 nos testes de Adestramento e Diplomacia que fizer contra o animal.<br>Um alvo hostil ou que esteja envolvido em um combate recebe +5 em seu teste de resistência. Se você ou seus aliados tomarem qualquer ação hostil contra o alvo, a magia é dissipada e ele retorna à atitude que tinha antes (ou piorada, de acordo com o mestre). Se tratar bem o alvo, a atitude pode permanecer mesmo após o término da magia.	Jogo do Ano	1	muda o alcance para médio.	1	muda o alvo para 1 monstro ou espírito com Inteligência 1 ou 2.	2	aumenta o número de alvos em +1.	5	muda o alvo para 1 monstro ou espírito. Requer 3o círculo.																		
Adaga Mental	Arcana	1	Encan	padrão	curto (9m 6q)	1 criatura		instantânea	Vontade parcial	Você manifesta e dispara uma adaga imaterial contra a mente do alvo, que sofre 2d6 pontos de dano psíquico e fica Atordoado por uma rodada. Se passar no teste de resistência, sofre apenas metade do dano e evita a condição. Uma criatura só pode ficar atordoada por esta magia uma vez por cena.	Jogo do Ano	1	você lança a magia sem gesticular ou pronunciar palavras (o que permite lançar essa magia de armadura) e a adaga se torna invisível. Se o alvo falhar no teste de resistência, não percebe que você lançou uma magia<br>contra ele.	2	muda a duração para 1 dia. Além do normal, você “finca” a adaga na mente do alvo. Enquanto a magia durar, você sabe a direção e localização do alvo, desde que ele esteja no mesmo mundo.	2	aumenta o dano em +1d6.																				
Alarme	Arcana	1	Abjur	padrão	curto (9m 6q)		esfera de 9m de raio	1 dia		Você cria uma barreira protetora invisível que detecta qualquer criatura que tocar ou entrar na área protegida. Ao lançar a magia, você pode escolher quais criaturas podem entrar na área sem ativar seus efeitos. Alarme pode emitir um aviso telepático ou sonoro, decidido quando a magia é lançada. Um aviso telepático alerta apenas você, inclusive acordando-o se estiver dormindo, mas apenas se estiver a até 1km da área protegida. Um aviso sonoro alerta todas as criaturas em alcance longo.	Jogo do Ano	2	muda o alcance para pessoal. A área é emanada a partir de você.	5	além do normal, você também percebe qualquer efeito de Adiv que seja usado dentro da área ou atravesse a área. Você pode fazer um teste oposto de Misticismo contra quem usou o efeito; se passar, tem um vislumbre de seu rosto e uma ideia aproximada de sua localização (“três dias de viagem ao norte”, por exemplo).	9	muda a duração para 1 dia ou até ser descarregada e a resistência para Vontade anula. Quando um intruso entra na área, você pode descarregar a magia. Se o intruso falhar na resistência, ficará paralisado por 1d4 rodadas. Além disso, pelas próximas 24 horas você e as criaturas escolhidas ganham +10 em testes de Sobrevivência para rastrear o intruso.																				
Amedrontar	Arcana	1	Necro	padrão	curto (9m 6q)	1 animal ou humanóide		cena	Vontade parcial	O alvo é envolvido por energias sombrias e assustadoras. Se falhar na resistência, fica Apavorado por 1 rodada, depois Abalado. Se passar, fica abalado por 1d4 rodadas.	Jogo do Ano	2	alvos que falhem na resistência ficam apavorados por 1d4+1 rodadas, em vez de apenas 1.	2	muda o alvo para 1 criatura.	5	afeta todos os alvos válidos a sua escolha dentro do alcance.																				
Área Escorregadia	Arcana	1	Conv	padrão	curto (9m 6q)		quadrado de 3m de lado ou 1 objeto	cena	Reflexos (veja texto)	Esta magia recobre uma superfície com uma substância gordurosa e escorregadia. Criaturas na área devem passar na resistência para não cair. Nas rodadas seguintes, criaturas que tentem movimentar-se pela área devem fazer testes de Acrobacia para equilíbrio (CD 10).<br>Área Escorregadia pode tornar um item escorregadio. Uma criatura segurando um objeto afetado deve passar na resistência para não deixar o item cair cada vez que usá-lo.	Jogo do Ano	1	aumenta a área em +1 quadrado de 1,5m.	2	muda a CD dos testes de Acrobacia para 15.	5	muda a CD dos testes de Acrobacia para 20.																				
Arma Espiritual	Divina	1	Conv	padrão	pessoal	você		cena		Você invoca a arma preferida de sua divindade (se tiver uma), que surge flutuando a seu lado. Uma vez por rodada, quando você sofre um ataque corpo a corpo, pode usar uma reação para que a arma cause automaticamente 2d6 pontos de dano do tipo da arma — por exemplo, uma espada longa causa dano de corte — no oponente que fez o ataque. Esta magia se dissipa se você morrer.	Jogo do Ano	1	além do normal, a arma o protege. Você recebe +1 na Defesa.	2	aumenta o bônus na Defesa em +1.	2	muda a duração para sustentada. Além do normal, uma vez por rodada, você pode gastar uma ação livre para fazer a arma acertar automaticamente um alvo adjacente. Se a arma atacar, não poderá contra-atacar até seu próximo turno. Requer 2o círculo.	2	muda o tipo do dano para essência. Requer 2o círculo.	5	invoca duas armas, permitindo que você contra-ataque (ou ataque, se usar o aprimoramento acima) duas vezes por rodada. Requer 3o círculo.	2	aumenta o dano causado pela arma em +1d6, limitado pelo círculo máximo de magia que você pode lançar.														
Arma Mágica	Universal	1	Trans	padrão	toque	1 arma empunhada		cena		A arma fornece um bônus de +1 nos testes de ataque e rolagens de dano e é considerada mágica (não cumulativo com bônus de encantos). Caso você esteja empunhando a arma, pode usar seu atributo-chave de magias em vez do atributo original nos testes de ataque (não cumulativo com efeitos que somam este atributo).	Jogo do Ano	2	aumenta o bônus em +1 (bônus máximo limitado pelo círculo máximo de magia que você pode lançar).	2	a arma passa a causar +1d6 de dano de ácido, eletricidade, fogo ou frio, escolhido no momento em que a magia é lançada. Este aprimoramento só pode ser usado uma vez.	3	muda o bônus de dano do aprimoramento elemental para +2d6.																				
Armadura Arcana	Arcana	1	Abjur	padrão	pessoal	você		cena		Esta magia cria uma película protetora invisível, mas tangível, fornecendo +5 na Defesa. Esse bônus é cumulativo com outras magias, mas não com bônus fornecido por armaduras.	Jogo do Ano	1	muda a execução para reação. Em vez do normal, você cria um escudo mágico que fornece +5 na Defesa contra o próximo ataque que sofrer (cumulativo com o bônus fornecido pelo efeito básico desta magia e armaduras).	2	aumenta o bônus na Defesa em +1.	2	muda a duração para 1 dia.																				
Armamento da Natureza	Divina	1	Trans	padrão	toque	1 arma (veja texto)		cena		Você fortalece uma arma mundana primitiva (sem custo em T$, como bordão, clava, funda ou tacape), uma arma natural ou um ataque desarmado. O dano da arma aumenta em um passo e ela é considerada mágica. Ao lançar a magia, você pode mudar o tipo de dano da arma (escolhendo entre corte, impacto ou perfuração).	Jogo do Ano	1	fornece +1 nos testes de ataque com a arma.	2	muda a execução para ação de movimento.	3	aumenta o bônus nos testes de ataque em +1.	5	aumenta o dano da arma em mais um passo.																		
